op_padronizado,dt_ocorrencia,hr_ocorrencia,uf,regiao,latitude,longitude,cat_aeronave,fase_operacao,modelo_aeronave,peso_max_decolagem,numero_assentos,nome_fabricante,les_fatais_trip
AEROMINAS AVIACAO AGRICOLA LTDA,25/02/2020,10:30:00,MG,Sudeste,"-17,2889","-47,7894",S11,Manobra,EMB-201,1800,1,NEIVA,0
FLORIDA AVIACAO AGRICOLA LTDA ME,27/02/2020,11:30:00,MT,Centro-Oeste,"-9,83305","-50,8478",S05,Decolagem,EMB-202A,1800,1,EMBRAER,0
CEAL AVIACAO AGRICOLA LTDA,28/02/2020,19:30:00,PR,Sul,"-23,3881","-53,8917",S11,Manobra,EMB-201A,1800,1,NEIVA,0
REDEX AEROAGRICOLA LTDA - EPP,13/03/2020,10:00:00,MT,Centro-Oeste,"-12,1936","-52,8161",S11,Manobra,EMB-201A,1800,1,NEIVA,1
AERO AGRICOLA CAICARA LTDA,18/03/2020,14:00:00,SC,Sul,"-25,9878","-48,8317",S05,Pouso,PA-25-260,1315,1,PIPER AIRCRAFT,0
AGROPECUARIA LOCKS LTDA,19/03/2020,13:30:00,MT,Centro-Oeste,"-10,0817","-51,8886",TPP,Em rota,EMB-202A,1800,1,EMBRAER,0
MARCOS ANTONIO CORREA MARQUES,24/03/2020,20:30:00,MA,Nordeste,"-9,01028","-46,1461",T11,Manobra,EMB-202,1800,1,NEIVA,0
AVANTE AVIACAO AGRICOLA LTDA.,01/04/2020,10:30:00,RS,Sul,"-28,4747","-53,8867",S05,Decolagem,A188A,1497,1,CESSNA AIRCRAFT,0
RODRIGO COCATO BADAN,06/04/2020,09:30:00,MT,Centro-Oeste,"-13,2314","-56,9347",TPP,Manobra,PA-25-235,1315,1,PIPER AIRCRAFT,0
J&M SERVICOS AEROAGRICOLA DO PONTAL LTDA,11/04/2020,12:20:00,MG,Sudeste,"-19,3283","-50,8414",TPP,Manobra,EMB-203,1900,1,EMBRAER,1
AEROBRAS AVIAÇÃO AGRÍCOLA EIRELI,18/04/2020,13:00:00,MA,Nordeste,"-3,89305","-44,7414",S11,Aproximação,PA-25-260,1315,,PIPER AIRCRAFT,1
OSCAR STROSCHON,18/04/2020,17:45:00,MG,Sudeste,"-15,255","-46,7806",TPP,Manobra,EMB-202A,1800,1,EMBRAER,0
TEXTOR AVIACAO AGRICOLA LTDA - EPP,13/05/2020,15:00:00,GO,Centro-Oeste,"-19,3186","-50,8447",S11,Pouso,A188B,1497,1,CESSNA AIRCRAFT,0
BANALVES AVIACAO AGRICOLA LTDA,15/05/2020,11:40:00,SC,Sul,"-26,4461","-48,8147",S05,Manobra,PA-25-235,1315,1,PIPER AIRCRAFT,0
ROBSON CATELLAN,20/06/2020,16:30:00,BA,Nordeste,"-12,8544","-45,9086",TPP,Manobra,EMB-201A,1800,1,NEIVA,1
PROTEGE AERO AGRICOLA LTDA,18/08/2020,20:20:00,MG,Sudeste,"-16,6128","-47,0669",S11,Manobra,EMB-201A,1800,1,NEIVA,1
COMBATE AVIACAO AGRICOLA LTDA - ME,18/12/2020,13:00:00,GO,Centro-Oeste,"-17,8694","-49,8378",S11,Cruzeiro,EMB-200A,1550,1,NEIVA,1
AERO AGRICOLA LINEAR LTDA,31/01/2021,20:30:00,PA,Norte,"-6,75636","-51,0702",S05,Manobra,T188C,1996,1,CESSNA AIRCRAFT,1
CESAR AVIACAO AGRICOLA LTDA,27/03/2021,19:50:00,GO,Centro-Oeste,"-16,0122","-49,7644",S05,Cruzeiro,EMB-201,1800,1,NEIVA,1
CANAA AEROAGRICOLA LTDA-ME,11/11/2021,12:40:00,TO,Norte,"-10,4183","-49,88",S05,Manobra,EMB-201A,1800,1,NEIVA,1
LUSA AVIACAO AGRICOLA LTDA - ME,24/11/2021,11:40:00,MG,Sudeste,"-17,7175","-45,8192",S11,Voo a baixa altura,A188B,1497,1,CESSNA AIRCRAFT,1
AERO AGRICOLA VARGAS LTDA - EPP,20/12/2021,14:30:00,MS,Centro-Oeste,"-21,4403","-52,4453",S05,Indeterminada,EMB-202,1800,1,NEIVA,1
VANIR POTRICH,08/01/2022,12:30:00,MS,Centro-Oeste,"-13,4428","-54,9253",T11,Manobra,EMB-202,1800,1,NEIVA,1
APC SERVIÇO AÉREO ESPECIALIZADO LTDA,14/01/2022,13:30:00,SP,Sudeste,"-21,8639","-49,7389",S11,Manobra,EMB-202,1800,1,NEIVA,1
APC SERVIÇO AÉREO ESPECIALIZADO LTDA,14/01/2022,13:30:00,SP,Sudeste,"-21,8639","-49,7389",S11,Manobra,EMB-202,1800,1,NEIVA,1
AERO AGRICOLA CAICARA LTDA,01/03/2022,11:05:00,SP,Sudeste,"-24,53","-48,049",S05,Cruzeiro,PA-25-260,1315,1,PIPER AIRCRAFT,1
AERO AGRICOLA CAICARA LTDA,01/03/2022,11:05:00,SP,Sudeste,"-24,53","-48,049",S05,Cruzeiro,PA-25-260,1315,1,PIPER AIRCRAFT,1
AERO AGRICOLA CEU AZUL LTDA,06/04/2022,15:00:00,RO,Norte,"-11,2507","-60,8434",TPP,Indeterminada,EMB-201,1800,1,NEIVA,1
SAVANA AERO AGRICOLA LTDA,14/04/2022,10:30:00,GO,Centro-Oeste,"-17,4792","-52,4944",S05,Manobra,A188B,1905,1,CESSNA AIRCRAFT,1
SAVANA AERO AGRICOLA LTDA,14/04/2022,10:30:00,GO,Centro-Oeste,"-17,4792","-52,4944",S05,Manobra,A188B,1905,1,CESSNA AIRCRAFT,1
AEREO AGRICOLA SANTA MARIA - LTDA - EPP,18/04/2022,12:25:00,GO,Centro-Oeste,"-15,5953","-47,0957",S05,Manobra,PA-25-235,1315,1,PIPER AIRCRAFT,1
AEREO AGRICOLA SANTA MARIA - LTDA - EPP,18/04/2022,12:25:00,GO,Centro-Oeste,"-15,5953","-47,0957",S05,Manobra,PA-25-235,1315,1,PIPER AIRCRAFT,1
ELO FORTE AVIAÇÃO AGRÍCOLA LTDA,17/05/2022,10:00:00,MG,Sudeste,"-17,0703","-45,8744",S11,Subida,PA-25-235,1315,1,LAVIASA,1
AEROMART AVIAÇÃO AGRÍCOLA LTDA,06/01/2023,19:20:00,SP,Sudeste,"-22,1314","-52,0736",TPP,Manobra,A188,1497,1,CESSNA AIRCRAFT,1
MOTTA E TEIXEIRA PARTS LTDA,14/12/2023,12:45:00,MT,Centro-Oeste,"-15,2331","-58,0218",S11,Manobra,EMB-201A,1800,1,NEIVA,1
MOTTA E TEIXEIRA PARTS LTDA,14/12/2023,12:45:00,MT,Centro-Oeste,"-15,2331","-58,0218",S11,Manobra,EMB-201A,1800,1,NEIVA,1
ALFA E OMEGA SERVICOS AEREOS LTDA,23/03/2024,15:00:00,MT,Centro-Oeste,,,S11,Manobra,A188B,1905,1,CESSNA AIRCRAFT,1
JAÍBA AVIAÇÃO AGRÍCOLA LTDA,01/04/2024,10:54:00,GO,Centro-Oeste,"-18,1117","-47,88",S11,Cruzeiro,EMB-201,1800,1,NEIVA,0
PRECISÃO AEROAGRICOLA LTDA,01/04/2024,10:54:00,GO,Centro-Oeste,"-18,1117","-47,88",S11,Cruzeiro,EMB-201,1800,1,NEIVA,0
AEROTERRA - AVIAÇÃO AGRÍCOLA LTDA,03/04/2024,13:50:00,BA,Nordeste,"-11,2736","-45,6139",TPP,Decolagem,AT-502B,3629,1,AIR TRACTOR,0
MARCELINO FLORES DE OLIVEIRA,03/04/2024,13:50:00,BA,Nordeste,"-11,2736","-45,6139",TPP,Decolagem,AT-502B,3629,1,AIR TRACTOR,0
AEROMART AVIAÇÃO AGRÍCOLA LTDA,09/04/2024,19:10:00,MG,Sudeste,"-19,3339","-48,0361",S11,Cruzeiro,EMB-200A,1550,1,NEIVA,0
G2 AEROAGRÍCOLA LTDA,09/04/2024,21:00:00,MT,Centro-Oeste,"-12,2919","-56,2233",S05,Aproximação,EMB-203,1900,1,EMBRAER,1
FERNANDO VENCESLAU RODRIG S,12/04/2024,19:15:00,MT,Centro-Oeste,"-11,5769","-58,2342",TPP,Indeterminada,EMB-202A,1800,1,EMBRAER,0
RONALDO VENCESLAU ROD.DA CUNHAS,12/04/2024,19:15:00,MT,Centro-Oeste,"-11,5769","-58,2342",TPP,Indeterminada,EMB-202A,1800,1,EMBRAER,0
ANTONIO RENATO VENCESLAU RS,12/04/2024,19:15:00,MT,Centro-Oeste,"-11,5769","-58,2342",TPP,Indeterminada,EMB-202A,1800,1,EMBRAER,0
FERNANDO VENCESLAU RODRIG S,12/04/2024,19:15:00,MT,Centro-Oeste,"-11,5769","-58,2342",TPP,Indeterminada,EMB-202A,1800,1,EMBRAER,0
RONALDO VENCESLAU ROD.DA CUNHAS,12/04/2024,19:15:00,MT,Centro-Oeste,"-11,5769","-58,2342",TPP,Indeterminada,EMB-202A,1800,1,EMBRAER,0
ANTONIO RENATO VENCESLAU RS,12/04/2024,19:15:00,MT,Centro-Oeste,"-11,5769","-58,2342",TPP,Indeterminada,EMB-202A,1800,1,EMBRAER,0
DANIEL RIBEIRO DA SILVA,14/04/2024,11:45:00,PA,Norte,"-3,08778","-52,3667",S05,Cruzeiro,EMB-201A,1800,1,NEIVA,0
AERO AGRICOLA BOM JESUS LTDA,16/04/2024,14:00:00,MA,Nordeste,"-3,77861","-42,9708",S05,Decolagem,EMB-202A,1800,1,EMBRAER,0
AERO AGRICOLA BOM JESUS LTDA,16/04/2024,14:00:00,MA,Nordeste,"-3,77861","-42,9708",S05,Decolagem,EMB-202A,1800,1,EMBRAER,0
CELSO CARLOS ROQUETTO,20/04/2024,14:32:00,MT,Centro-Oeste,"-11,5064","-52,6525",TPP,Cruzeiro,S2R-T34,2722,1,THRUSH AIRCRAFT,0
CELSO CARLOS ROQUETTO,20/04/2024,14:32:00,MT,Centro-Oeste,"-11,5064","-52,6525",TPP,Cruzeiro,S2R-T34,2722,1,THRUSH AIRCRAFT,0
CANARANA AEROAGRÍCOLA LTDA,27/04/2024,13:00:00,MT,Centro-Oeste,"-13,5408","-52,2086",S05,Descida,EMB-202A,1800,1,EMBRAER,0
VOLMAR DUDA,10/05/2024,10:00:00,RO,Norte,"-13,2706","-60,9583",TPP,Decolagem,EMB-202A,1800,1,EMBRAER,0
KONAGESKI SERVICOS AGROPECUÁRIOS AEROAGRÍCOLA LTDA,15/05/2024,19:00:00,MT,Centro-Oeste,"-13,8914","-56,9114",S05,Decolagem,AT-502B,3629,1,AIR TRACTOR,0
AGROPECUARIA TRES ESTRELAS LTDA-ME,04/06/2024,18:15:00,MT,Centro-Oeste,"-15,1206","-53,7306",TPP,Decolagem,EMB-202A,1800,1,EMBRAER,0
AGROPECUARIA TRES ESTRELAS LTDA-ME,04/06/2024,18:15:00,MT,Centro-Oeste,"-15,1206","-53,7306",TPP,Decolagem,EMB-202A,1800,1,EMBRAER,0
AERO AGRICOLA CAMBARA LTDA,11/06/2024,09:15:00,BA,Nordeste,"-14,7194","-45,465",S05,Manobra,EMB-201A,1800,1,NEIVA,0
